onset	duration	trial_type	original_stage
30.0	1290.0	Wake	Sleep stage W
1320.0	120.0	N1	Sleep stage 1
1440.0	90.0	Wake	Sleep stage W
1530.0	30.0	N1	Sleep stage 1
1560.0	30.0	Wake	Sleep stage W
1590.0	120.0	N1	Sleep stage 1
1710.0	30.0	Wake	Sleep stage W
1740.0	60.0	N1	Sleep stage 1
1800.0	30.0	Wake	Sleep stage W
1830.0	150.0	N1	Sleep stage 1
1980.0	540.0	N2	Sleep stage 2
2520.0	60.0	N3	Sleep stage 3
2580.0	30.0	N2	Sleep stage 2
2610.0	180.0	N3	Sleep stage 3
2790.0	30.0	N3	Sleep stage 4
2820.0	60.0	N3	Sleep stage 3
2880.0	120.0	N3	Sleep stage 4
3000.0	30.0	N3	Sleep stage 3
3030.0	450.0	N3	Sleep stage 4
3480.0	30.0	N3	Sleep stage 3
3510.0	150.0	N3	Sleep stage 4
3660.0	60.0	N3	Sleep stage 3
3720.0	1200.0	N3	Sleep stage 4
4920.0	90.0	Wake	Sleep stage W
5010.0	90.0	N1	Sleep stage 1
5100.0	900.0	N2	Sleep stage 2
6000.0	1380.0	REM	Sleep stage R
7380.0	750.0	N2	Sleep stage 2
8130.0	30.0	N3	Sleep stage 3
8160.0	90.0	N2	Sleep stage 2
8250.0	60.0	N3	Sleep stage 3
8310.0	30.0	N2	Sleep stage 2
8340.0	60.0	N3	Sleep stage 3
8400.0	60.0	N3	Sleep stage 4
8460.0	30.0	N3	Sleep stage 3
8490.0	30.0	N3	Sleep stage 4
8520.0	60.0	N3	Sleep stage 3
8580.0	60.0	N3	Sleep stage 4
8640.0	30.0	N3	Sleep stage 3
8670.0	30.0	Wake	Sleep stage W
8700.0	30.0	N1	Sleep stage 1
8730.0	120.0	Wake	Sleep stage W
8850.0	30.0	N1	Sleep stage 1
8880.0	30.0	Wake	Sleep stage W
8910.0	60.0	N1	Sleep stage 1
8970.0	330.0	N2	Sleep stage 2
9300.0	30.0	Wake	Sleep stage W
9330.0	30.0	N1	Sleep stage 1
9360.0	30.0	N2	Sleep stage 2
9390.0	30.0	Wake	Sleep stage W
9420.0	60.0	N1	Sleep stage 1
9480.0	30.0	N2	Sleep stage 2
9510.0	30.0	N3	Sleep stage 3
9540.0	330.0	N2	Sleep stage 2
9870.0	30.0	Wake	Sleep stage W
9900.0	30.0	N1	Sleep stage 1
9930.0	30.0	N2	Sleep stage 2
9960.0	60.0	N1	Sleep stage 1
10020.0	450.0	N2	Sleep stage 2
10470.0	30.0	N3	Sleep stage 3
10500.0	30.0	N2	Sleep stage 2
10530.0	90.0	N3	Sleep stage 3
10620.0	30.0	N2	Sleep stage 2
10650.0	150.0	N3	Sleep stage 3
10800.0	30.0	N3	Sleep stage 4
10830.0	90.0	N3	Sleep stage 3
10920.0	420.0	N3	Sleep stage 4
11340.0	30.0	N3	Sleep stage 3
11370.0	780.0	N3	Sleep stage 4
12150.0	30.0	N3	Sleep stage 3
12180.0	960.0	N3	Sleep stage 4
13140.0	30.0	N3	Sleep stage 3
13170.0	120.0	N3	Sleep stage 4
13290.0	30.0	N3	Sleep stage 3
13320.0	150.0	N3	Sleep stage 4
13470.0	30.0	N3	Sleep stage 3
13500.0	30.0	N3	Sleep stage 4
13530.0	30.0	N3	Sleep stage 3
13560.0	30.0	N3	Sleep stage 4
13590.0	60.0	N3	Sleep stage 3
13650.0	30.0	Wake	Sleep stage W
13680.0	150.0	N1	Sleep stage 1
13830.0	90.0	N2	Sleep stage 2
13920.0	390.0	REM	Sleep stage R
14310.0	90.0	Wake	Sleep stage W
14400.0	150.0	N1	Sleep stage 1
14550.0	30.0	N2	Sleep stage 2
14580.0	30.0	REM	Sleep stage R
14610.0	90.0	N1	Sleep stage 1
14700.0	60.0	N2	Sleep stage 2
14760.0	90.0	REM	Sleep stage R
14850.0	300.0	N2	Sleep stage 2
15150.0	60.0	N1	Sleep stage 1
15210.0	450.0	N2	Sleep stage 2
15660.0	30.0	N1	Sleep stage 1
15690.0	60.0	N2	Sleep stage 2
15750.0	60.0	Wake	Sleep stage W
15810.0	120.0	N1	Sleep stage 1
15930.0	90.0	N2	Sleep stage 2
16020.0	30.0	N1	Sleep stage 1
16050.0	180.0	Wake	Sleep stage W
16230.0	210.0	N1	Sleep stage 1
16440.0	960.0	N2	Sleep stage 2
17400.0	30.0	Wake	Sleep stage W
17430.0	30.0	N1	Sleep stage 1
17460.0	60.0	N2	Sleep stage 2
17520.0	60.0	N1	Sleep stage 1
17580.0	600.0	N2	Sleep stage 2
18180.0	210.0	Wake	Sleep stage W
18390.0	150.0	N1	Sleep stage 1
18540.0	660.0	N2	Sleep stage 2
19200.0	30.0	N1	Sleep stage 1
19230.0	810.0	N2	Sleep stage 2
20040.0	90.0	REM	Sleep stage R
20130.0	30.0	N1	Sleep stage 1
20160.0	1590.0	REM	Sleep stage R
21750.0	60.0	Wake	Sleep stage W
21810.0	180.0	N1	Sleep stage 1
21990.0	150.0	REM	Sleep stage R
22140.0	150.0	N1	Sleep stage 1
22290.0	270.0	N2	Sleep stage 2
22560.0	30.0	N1	Sleep stage 1
22590.0	2700.0	N2	Sleep stage 2
25290.0	690.0	Wake	Sleep stage W
25980.0	270.0	N1	Sleep stage 1
26250.0	30.0	Wake	Sleep stage W
26280.0	270.0	N1	Sleep stage 1
26550.0	30.0	Wake	Sleep stage W
26580.0	240.0	N1	Sleep stage 1
26820.0	60.0	Wake	Sleep stage W
26880.0	30.0	N1	Sleep stage 1
26910.0	270.0	Wake	Sleep stage W
27180.0	30.0	N1	Sleep stage 1
27210.0	570.0	Wake	Sleep stage W
27780.0	690.0	N1	Sleep stage 1
28470.0	30.0	N2	Sleep stage 2
28500.0	30.0	N1	Sleep stage 1
28530.0	30.0	Wake	Sleep stage W
28560.0	120.0	N1	Sleep stage 1
28680.0	570.0	N2	Sleep stage 2
29250.0	600.0	REM	Sleep stage R
29850.0	480.0	Wake	Sleep stage W
