onset	duration	trial_type	original_stage
0.0	15360.0	Wake	Sleep stage W
15360.0	540.0	N1	Sleep stage 1
15900.0	450.0	N2	Sleep stage 2
16350.0	60.0	N1	Sleep stage 1
16410.0	690.0	N2	Sleep stage 2
17100.0	330.0	Wake	Sleep stage W
17430.0	360.0	N1	Sleep stage 1
17790.0	600.0	N2	Sleep stage 2
18390.0	180.0	N1	Sleep stage 1
18570.0	330.0	N2	Sleep stage 2
18900.0	120.0	Wake	Sleep stage W
19020.0	60.0	N1	Sleep stage 1
19080.0	840.0	N2	Sleep stage 2
19920.0	60.0	N1	Sleep stage 1
19980.0	60.0	N2	Sleep stage 2
20040.0	30.0	N1	Sleep stage 1
20070.0	330.0	N2	Sleep stage 2
20400.0	90.0	Wake	Sleep stage W
20490.0	60.0	N1	Sleep stage 1
20550.0	270.0	N2	Sleep stage 2
20820.0	270.0	Wake	Sleep stage W
21090.0	120.0	N1	Sleep stage 1
21210.0	780.0	N2	Sleep stage 2
21990.0	60.0	N1	Sleep stage 1
22050.0	270.0	N2	Sleep stage 2
22320.0	570.0	REM	Sleep stage R
22890.0	30.0	N1	Sleep stage 1
22920.0	300.0	REM	Sleep stage R
23220.0	120.0	Wake	Sleep stage W
23340.0	30.0	N1	Sleep stage 1
23370.0	150.0	N2	Sleep stage 2
23520.0	30.0	N1	Sleep stage 1
23550.0	600.0	N2	Sleep stage 2
24150.0	360.0	Wake	Sleep stage W
24510.0	120.0	N1	Sleep stage 1
24630.0	420.0	N2	Sleep stage 2
25050.0	30.0	N1	Sleep stage 1
25080.0	630.0	N2	Sleep stage 2
25710.0	30.0	N3	Sleep stage 3
25740.0	60.0	N2	Sleep stage 2
25800.0	30.0	N3	Sleep stage 3
25830.0	300.0	N2	Sleep stage 2
26130.0	30.0	N3	Sleep stage 3
26160.0	1500.0	N2	Sleep stage 2
27660.0	180.0	Wake	Sleep stage W
27840.0	30.0	N1	Sleep stage 1
27870.0	30.0	N2	Sleep stage 2
27900.0	120.0	Wake	Sleep stage W
28020.0	30.0	N1	Sleep stage 1
28050.0	120.0	Wake	Sleep stage W
28170.0	60.0	N1	Sleep stage 1
28230.0	120.0	N2	Sleep stage 2
28350.0	120.0	Wake	Sleep stage W
28470.0	60.0	N1	Sleep stage 1
28530.0	300.0	N2	Sleep stage 2
28830.0	90.0	Wake	Sleep stage W
28920.0	60.0	N1	Sleep stage 1
28980.0	330.0	N2	Sleep stage 2
29310.0	60.0	N1	Sleep stage 1
29370.0	60.0	N2	Sleep stage 2
29430.0	30.0	N3	Sleep stage 3
29460.0	90.0	N2	Sleep stage 2
29550.0	570.0	REM	Sleep stage R
30120.0	60.0	N1	Sleep stage 1
30180.0	360.0	N2	Sleep stage 2
30540.0	30.0	Wake	Sleep stage W
30570.0	60.0	N1	Sleep stage 1
30630.0	1590.0	N2	Sleep stage 2
32220.0	60.0	N1	Sleep stage 1
32280.0	1320.0	N2	Sleep stage 2
33600.0	30.0	N3	Sleep stage 3
33630.0	180.0	N2	Sleep stage 2
33810.0	30.0	N3	Sleep stage 3
33840.0	450.0	N2	Sleep stage 2
34290.0	30.0	N3	Sleep stage 3
34320.0	390.0	N2	Sleep stage 2
34710.0	60.0	N3	Sleep stage 3
34770.0	60.0	N2	Sleep stage 2
34830.0	30.0	N3	Sleep stage 3
34860.0	900.0	N2	Sleep stage 2
35760.0	810.0	Wake	Sleep stage W
36570.0	60.0	N1	Sleep stage 1
36630.0	270.0	N2	Sleep stage 2
36900.0	180.0	Wake	Sleep stage W
37080.0	30.0	N1	Sleep stage 1
37110.0	30.0	Wake	Sleep stage W
37140.0	90.0	N1	Sleep stage 1
37230.0	330.0	N2	Sleep stage 2
37560.0	60.0	N1	Sleep stage 1
37620.0	1170.0	N2	Sleep stage 2
38790.0	60.0	N1	Sleep stage 1
38850.0	630.0	N2	Sleep stage 2
39480.0	30.0	Wake	Sleep stage W
39510.0	120.0	N1	Sleep stage 1
39630.0	30.0	N2	Sleep stage 2
39660.0	90.0	Wake	Sleep stage W
39750.0	30.0	N1	Sleep stage 1
39780.0	60.0	N2	Sleep stage 2
39840.0	30.0	Wake	Sleep stage W
39870.0	150.0	N1	Sleep stage 1
40020.0	30.0	Wake	Sleep stage W
40050.0	150.0	N1	Sleep stage 1
40200.0	720.0	N2	Sleep stage 2
40920.0	90.0	N1	Sleep stage 1
41010.0	870.0	N2	Sleep stage 2
41880.0	210.0	N1	Sleep stage 1
42090.0	390.0	N2	Sleep stage 2
42480.0	30.0	N3	Sleep stage 3
42510.0	60.0	N2	Sleep stage 2
42570.0	300.0	REM	Sleep stage R
42870.0	30.0	N2	Sleep stage 2
42900.0	120.0	Wake	Sleep stage W
43020.0	60.0	N1	Sleep stage 1
43080.0	180.0	N2	Sleep stage 2
43260.0	30.0	Wake	Sleep stage W
43290.0	90.0	N1	Sleep stage 1
43380.0	30.0	N2	Sleep stage 2
43410.0	90.0	Wake	Sleep stage W
43500.0	180.0	N1	Sleep stage 1
43680.0	30.0	REM	Sleep stage R
43710.0	150.0	Wake	Sleep stage W
43860.0	30.0	N1	Sleep stage 1
43890.0	1380.0	Wake	Sleep stage W
45270.0	60.0	N1	Sleep stage 1
45330.0	30.0	N2	Sleep stage 2
45360.0	60.0	N1	Sleep stage 1
45420.0	30.0	Wake	Sleep stage W
45450.0	210.0	N1	Sleep stage 1
45660.0	360.0	N2	Sleep stage 2
46020.0	60.0	Wake	Sleep stage W
46080.0	60.0	N1	Sleep stage 1
46140.0	30.0	N2	Sleep stage 2
46170.0	60.0	N1	Sleep stage 1
46230.0	300.0	N2	Sleep stage 2
46530.0	60.0	N1	Sleep stage 1
46590.0	360.0	N2	Sleep stage 2
46950.0	30.0	N1	Sleep stage 1
46980.0	570.0	N2	Sleep stage 2
47550.0	150.0	N1	Sleep stage 1
47700.0	240.0	N2	Sleep stage 2
47940.0	30.0	Wake	Sleep stage W
47970.0	30.0	N1	Sleep stage 1
48000.0	180.0	Wake	Sleep stage W
48180.0	60.0	N2	Sleep stage 2
48240.0	30.0	Wake	Sleep stage W
48270.0	210.0	N2	Sleep stage 2
48480.0	30.0	Wake	Sleep stage W
48510.0	60.0	N1	Sleep stage 1
48570.0	150.0	N2	Sleep stage 2
48720.0	30.0	Wake	Sleep stage W
48750.0	60.0	N1	Sleep stage 1
48810.0	90.0	REM	Sleep stage R
48900.0	30.0	Wake	Sleep stage W
